date,day,month,year,hour,borough,latitude,longitude,1_engine_presence
2019-10-26,4,10,2019,8,1,40.72951,-73.99388,-1
2019-10-26,4,10,2019,8,1,40.72951,-73.99388,1
2019-10-26,4,10,2019,8,1,40.72951,-73.99388,1
2019-10-26,4,10,2019,8,1,40.72951,-73.99388,-1
2019-10-26,4,10,2019,8,1,40.72951,-73.99388,1
2019-10-26,4,10,2019,8,1,40.72951,-73.99388,1
2019-10-26,4,10,2019,8,1,40.72951,-73.99388,1
2019-10-26,4,10,2019,8,1,40.72951,-73.99388,1
2019-05-15,1,5,2019,20,1,40.72951,-73.99388,-1
2019-05-15,1,5,2019,20,1,40.72951,-73.99388,1
2019-05-15,1,5,2019,20,1,40.72951,-73.99388,1
2019-05-15,1,5,2019,20,1,40.72951,-73.99388,-1
2019-05-15,1,5,2019,20,1,40.72951,-73.99388,1
2019-05-15,1,5,2019,20,1,40.72951,-73.99388,1
2019-05-15,1,5,2019,20,1,40.72951,-73.99388,0
2019-05-15,1,5,2019,20,1,40.72951,-73.99388,1
2019-09-02,6,9,2019,11,1,40.72951,-73.99388,1
2019-09-02,6,9,2019,11,1,40.72951,-73.99388,1
2019-09-02,6,9,2019,11,1,40.72951,-73.99388,1
2019-09-02,6,9,2019,11,1,40.72951,-73.99388,1
2019-09-02,6,9,2019,11,1,40.72951,-73.99388,1
2019-09-02,6,9,2019,11,1,40.72951,-73.99388,1
2019-07-31,1,7,2019,9,1,40.72951,-73.99388,-1
2019-07-31,1,7,2019,9,1,40.72951,-73.99388,-1
2019-07-31,1,7,2019,9,1,40.72951,-73.99388,1
2019-07-31,1,7,2019,9,1,40.72951,-73.99388,0
2019-07-31,1,7,2019,9,1,40.72951,-73.99388,-1
2019-07-31,1,7,2019,9,1,40.72951,-73.99388,-1
2019-07-31,1,7,2019,9,1,40.72951,-73.99388,0
2019-07-31,1,7,2019,9,1,40.72951,-73.99388,0
2019-07-31,1,7,2019,9,1,40.72951,-73.99388,1
2019-07-31,1,7,2019,9,1,40.72951,-73.99388,1
2019-10-01,0,10,2019,13,1,40.72951,-73.99388,-1
2019-10-01,0,10,2019,13,1,40.72951,-73.99388,-1
2019-10-01,0,10,2019,13,1,40.72951,-73.99388,-1
2019-10-01,0,10,2019,13,1,40.72951,-73.99388,-1
2019-10-01,0,10,2019,13,1,40.72951,-73.99388,0
2019-10-01,0,10,2019,13,1,40.72951,-73.99388,0
2019-10-01,0,10,2019,13,1,40.72951,-73.99388,0
2019-10-01,0,10,2019,13,1,40.72951,-73.99388,0
2019-06-02,5,6,2019,15,1,40.72951,-73.99388,-1
2019-06-02,5,6,2019,15,1,40.72951,-73.99388,-1
2019-06-02,5,6,2019,15,1,40.72951,-73.99388,1
2019-06-02,5,6,2019,15,1,40.72951,-73.99388,1
2019-06-02,5,6,2019,15,1,40.72951,-73.99388,-1
2019-06-02,5,6,2019,15,1,40.72951,-73.99388,-1
2019-06-02,5,6,2019,15,1,40.72951,-73.99388,1
2019-06-02,5,6,2019,15,1,40.72951,-73.99388,0
2019-06-02,5,6,2019,15,1,40.72951,-73.99388,1
2019-06-02,5,6,2019,15,1,40.72951,-73.99388,0
2019-11-18,6,11,2019,18,1,40.72951,-73.99388,-1
2019-11-18,6,11,2019,18,1,40.72951,-73.99388,-1
2019-11-18,6,11,2019,18,1,40.72951,-73.99388,1
2019-11-18,6,11,2019,18,1,40.72951,-73.99388,1
2019-11-18,6,11,2019,18,1,40.72951,-73.99388,-1
